tract_id,year,hd,median_rent,low_quart_rent,upper_quart_rent,nonwhite_nonasian_pct,white_alone,black_alone,asian_alone,hispanic,total_pop
3,2019,False,1956.975307696873,1638.1280423290505,2607.3235417320025,10.95168158893945,5355.018006336423,561.2162469400221,530.8170728959311,521.2352169975965,6609.70940749543
3,2020,False,1911.0240025075036,1470.0362272832863,2670.9877485299367,8.287179994867305,5586.0466231863575,178.00144963955972,379.0168159082714,811.0093063819841,6504.067194489053
3,2021,False,1969.0,1483.0,2659.0,12.571237009721756,4946.0,184.0,270.0,884.0,5966.0
3,2022,False,1995.0,1538.0,3306.0,19.30088643585884,4525.0,156.0,300.0,1253.0,5979.0
3,2023,False,1905.0,1585.0,2946.0,24.51931557593932,4033.0,325.0,246.0,816.0,5669.0
4,2000,False,1245.7796001514362,1024.662922039155,1214.0449977367753,11.035354186274253,1497.2534915295837,79.5139171591145,43.15711416027625,43.67170010812697,1731.4862455757684
4,2009,False,1598.3503208413713,1321.119376747116,1952.8882941255943,2.7052401485153696,1522.678522808521,30.12714834068902,53.42139855463029,221.33513603159372,1619.9227211917532
4,2010,False,1528.0716445424653,1274.996118169436,1860.2290400118302,2.1526945537971915,1290.0877867102172,18.875124453925626,52.36452046841468,259.03191932534594,1371.986996531777
4,2011,False,1570.1833081674804,894.730299508271,1903.6558357450804,3.527872367576527,1364.7010432789575,36.84241411815674,74.6266686620329,261.48350005500106,1491.9622353775521
4,2012,False,1884.4485710085528,1077.1897599316353,2000.9008879638377,6.448786521854199,1369.4909825300201,67.96513675520691,99.49308770909738,228.13810454640952,1570.2458745575568
4,2013,False,1998.923568284427,1845.4856760019263,2001.0000549764147,8.353867651036754,1352.7725150688213,88.6473759619463,116.93365885272134,184.23885619011548,1603.675066532329
4,2014,False,2000.9033665547388,1787.8615156970723,2001.0000780964133,11.265867545793556,1232.6352870376745,92.76358303922855,120.71948940008993,216.57708246481934,1525.1794760445744
4,2015,False,2203.839821178763,1853.861123531969,2660.834707382074,11.606376412873532,1263.6060312905,88.82781858978652,129.6234321463996,253.617896447721,1576.1651201725456
4,2016,False,2281.8429821508776,1921.8788895303028,2845.8343198613234,11.763926107786457,1266.906684781122,78.75278467808192,148.44051003627396,275.3927052041862,1604.0459784581308
4,2017,False,2194.903768867295,1865.9254667810887,2517.9720716641955,9.478868135409181,1201.2414625180302,61.9890468943495,145.5128589276087,263.56937165534134,1487.778923776857
4,2018,False,2167.9685053352496,1841.9566503823216,2479.016281132582,7.103239160865406,1236.131204265713,43.03136889762651,88.65696705259323,222.75659403794657,1426.0865065170422
4,2019,False,2183.9783744843608,1837.959808154082,2522.0083879911363,6.192333445892246,1222.7351481496632,31.25004121793825,100.87958890423143,209.6295018879735,1410.987806940535
4,2020,False,2243.7478413439385,1972.7578295903804,2499.7659931169183,5.684839097854595,1030.4892542452435,32.68244537018472,367.73374612475163,205.01489610387944,1482.500784598873
4,2021,False,2466.0,2162.0,3501.0,13.4,1005.5882091522217,28.930613160133362,290.30373895168304,158.61956870555878,1496.4110255241394
4,2022,False,3295.0,2505.0,3501.0,14.043583535108958,1158.0,27.0,262.0,174.0,1652.0
4,2023,False,3262.0,2573.0,3501.0,20.291545189504372,1040.0,78.0,327.0,279.0,1715.0
5,2000,False,977.6683055274189,795.938732188195,971.410275535658,9.044465302826929,2254.333622346632,132.22648842819035,226.79498177859932,238.92805851995945,2727.847857072018
5,2009,False,1523.414373270236,1244.4191781254485,1908.630166914314,5.827620367505329,2690.1346266996115,91.80234186770394,189.3646209668368,266.0155092747882,3057.689801302273
5,2010,False,1627.0130050898442,1330.2745916346466,1996.9147021992248,6.112427577326726,2914.7069577267393,83.56130884075537,205.81866566743702,191.94759364565834,3323.683361782809
5,2011,False,1729.7809946550988,1361.3823422926944,1996.6726457234472,6.800922548230556,3007.804254441755,60.78733118972741,143.61700008879416,325.4427675786428,3381.386748341378
5,2012,False,1657.4075631694868,1336.6178544377908,1999.6788756977767,10.48368103312613,2712.2130696875975,97.17167457495816,145.3223964201752,423.53678123210557,3192.195008784067
